date,symbol,sentiment_mean,sentiment_count,sentiment_std
2016-12-07,TATASTEEL.NS,0.0,4,0.0
2016-12-07,TCS.NS,0.0,2,0.0
2016-12-08,ADANIPORTS.NS,-1.0,2,0.0
2016-12-08,ASIANPAINT.NS,-1.0,2,0.0
2016-12-08,TATASTEEL.NS,-1.0,2,0.0
2016-12-11,ULTRACEMCO.NS,0.0,2,0.0
2016-12-12,ASIANPAINT.NS,0.0,2,0.0
2016-12-12,BPCL.NS,-1.0,2,0.0
2016-12-13,ADANIPORTS.NS,0.0,2,0.0
2016-12-13,BPCL.NS,0.0,2,0.0
2016-12-13,HINDUNILVR.NS,0.0,1,0.0
2016-12-13,LT.NS,0.0,1,0.0
2016-12-15,TCS.NS,0.0,2,0.0
2016-12-16,BHARTIARTL.NS,0.0,2,0.0
2016-12-16,TATASTEEL.NS,-1.0,2,0.0
2016-12-16,TCS.NS,1.0,2,0.0
2016-12-17,RELIANCE.NS,0.0,1,0.0
2016-12-19,ASIANPAINT.NS,0.0,2,0.0
2016-12-21,COALINDIA.NS,0.0,1,0.0
2016-12-22,ADANIPORTS.NS,-1.0,2,0.0
2016-12-22,ASIANPAINT.NS,0.0,2,0.0
2016-12-22,TATASTEEL.NS,-1.0,2,0.0
2016-12-23,TATASTEEL.NS,1.0,2,0.0
2016-12-27,ADANIPORTS.NS,-1.0,2,0.0
