date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2025-07-30,CHOLAFIN,SHORT,0.6519,0.010779,0.016534,1498.5,1476.02,TARGET,0.015,263.6,0.015082,-0.000334
2025-07-30,JSWSTEEL,SHORT,0.6672,0.010729,0.01608,1046.4,1035.6,3PM,0.010321,170.02,0.014048,-0.005638
2025-07-30,VBL,SHORT,0.7011,0.010701,0.015263,515.0,520.15,STOP,-0.01,-236.4,0.0,-0.011359
2025-07-30,ADANIPOWER,SHORT,0.6594,0.009373,0.014215,118.8,119.99,STOP,-0.01,-236.4,0.002104,-0.013889
2025-07-31,PGHH,SHORT,0.6838,0.014279,0.020881,13820.0,13721.26,TRAILING,0.007144,106.49,0.012084,-0.00492
2025-07-31,MOTHERSON,SHORT,0.6768,0.01187,0.017537,96.89,96.03,TRAILING,0.008899,141.59,0.01383,-0.002167
2025-07-31,NAUKRI,SHORT,0.6874,0.011529,0.016772,1380.0,1393.8,STOP,-0.01,-236.4,0.003188,-0.014493
2025-07-31,VBL,LONG,0.6582,0.011339,0.017227,512.05,514.37,TRAILING,0.004522,54.03,0.009569,-9.8e-05
2025-07-31,BOSCHLTD,LONG,0.6523,0.011003,0.016868,39500.0,39675.62,TRAILING,0.004446,52.52,0.009494,-0.00443
2025-08-01,ATGL,SHORT,0.7813,0.018644,0.023862,617.0,607.75,TARGET,0.015,263.6,0.015397,0.0
2025-08-01,PAYTM,SHORT,0.7917,0.018021,0.022761,1093.0,1103.93,STOP,-0.01,-236.4,0.004941,-0.010979
2025-08-01,AMBUJACEM,SHORT,0.7615,0.017626,0.023145,594.85,591.69,TRAILING,0.005306,69.72,0.010255,0.0
2025-08-01,GODREJCP,SHORT,0.7495,0.015288,0.020398,1270.0,1282.7,STOP,-0.01,-236.4,0.004173,-0.015748
2025-08-01,INDUSTOWER,SHORT,0.7753,0.015267,0.019693,363.05,360.79,TRAILING,0.006211,87.83,0.011155,-0.003168
2025-08-04,UPL,SHORT,0.7383,0.016001,0.021673,673.5,680.24,STOP,-0.01,-236.4,0.002153,-0.033333
2025-08-04,ABB,LONG,0.6846,0.01253,0.018302,5310.0,5256.9,STOP,-0.01,-236.4,0.004331,-0.01968
2025-08-04,INDUSTOWER,SHORT,0.6506,0.011681,0.017955,346.0,340.81,TARGET,0.015,263.6,0.017775,-0.004335
2025-08-05,INDUSINDBK,SHORT,0.7262,0.015085,0.020772,820.0,815.31,TRAILING,0.005724,78.08,0.010671,-0.005488
2025-08-05,UNITDSPR,SHORT,0.6525,0.008659,0.01327,1348.9,1340.47,TRAILING,0.00625,88.61,0.011194,0.0
2025-08-06,MAXHEALTH,SHORT,0.7239,0.014176,0.019582,1289.9,1278.36,TRAILING,0.008946,142.53,0.013877,0.0
2025-08-06,LUPIN,SHORT,0.7114,0.013568,0.019073,1908.0,1879.38,TARGET,0.015,263.6,0.022799,0.0
2025-08-06,INDUSINDBK,SHORT,0.7349,0.013283,0.018074,822.0,818.22,TRAILING,0.004598,55.55,0.00955,0.0
2025-08-06,PAYTM,SHORT,0.7051,0.011908,0.016887,1057.0,1053.34,TRAILING,0.003462,32.84,0.00842,0.0
2025-08-06,TRENT,SHORT,0.6886,0.011277,0.016378,5350.0,5403.5,STOP,-0.01,-236.4,0.005981,-0.01028
2025-08-07,BOSCHLTD,SHORT,0.6952,0.012632,0.01817,38225.0,38089.5,TRAILING,0.003545,34.5,0.008502,-0.004447
2025-08-08,LICI,SHORT,0.7108,0.011735,0.016508,905.0,914.05,STOP,-0.01,-236.4,0.001105,-0.02442
2025-08-08,ADANIGREEN,SHORT,0.6588,0.011364,0.017251,939.85,935.76,TRAILING,0.004357,50.73,0.00931,0.0
2025-08-08,SIEMENS,SHORT,0.7018,0.010841,0.015448,3147.0,3129.57,TRAILING,0.005539,74.37,0.010486,0.0
2025-08-08,ADANIPOWER,SHORT,0.7025,0.010832,0.01542,116.4,115.98,TRAILING,0.003634,36.28,0.010309,-0.002148
2025-08-08,TITAN,SHORT,0.7118,0.010596,0.014887,3450.1,3420.12,TRAILING,0.008691,137.42,0.013623,-0.002522
2025-08-11,BERGEPAINT,SHORT,0.7351,0.014459,0.01967,551.05,542.78,TARGET,0.015,263.6,0.018238,-0.006805
2025-08-11,GODREJPROP,SHORT,0.717,0.013324,0.018583,1973.3,1993.03,STOP,-0.01,-236.4,0.003345,-0.010439
2025-08-11,ADANIGREEN,SHORT,0.6967,0.012405,0.017805,914.05,923.19,STOP,-0.01,-236.4,0.004321,-0.01001
2025-08-11,LODHA,SHORT,0.6996,0.012252,0.017513,1209.0,1204.09,TRAILING,0.004061,44.82,0.009016,0.0
2025-08-11,ADANIENT,SHORT,0.6807,0.012221,0.017952,2129.0,2150.29,STOP,-0.01,-236.4,0.005918,-0.011085
2025-08-12,PAYTM,SHORT,0.6894,0.013383,0.019411,1126.0,1120.17,TRAILING,0.005175,67.1,0.010124,-0.001776
2025-08-12,NAUKRI,SHORT,0.6505,0.010184,0.015654,1332.0,1345.32,STOP,-0.01,-236.4,0.006381,-0.011036
